10914//47693	22.8838613633%	529,829,766,722,684,217,494,692,120,937,145
10729//47671	22.506345577%	529,829,722,354,684,217,494,692,120,937,145
10379//47156	22.0099245059%	529,766,722,354,684,217,494,692,120,937,145
10162//45898	22.1403982744%	529,829,766,722,354,684,217,494,419,692
9677//45373	21.3276618253%	529,829,766,722,354,684,217,419,692,937
10202//45520	22.4121265378%	529,829,766,722,354,684,217,494,692,145
10154//45558	22.2880723473%	529,829,766,722,354,684,494,419,692,937
10001//45540	21.9609134827%	529,829,766,722,354,217,494,419,692,937
9730//45207	21.5232154312%	529,829,766,722,354,684,217,494,937,145
10365//45282	22.8898900225%	529,829,766,722,684,217,494,419,692,120
9708//44997	21.5747716514%	529,829,766,722,354,684,217,692,937,145
9366//44716	20.9455228554%	529,829,766,722,354,684,217,120,937,145
10214//45068	22.6635306648%	529,829,766,722,684,217,494,419,692,937
10218//45528	22.4433315762%	529,829,766,354,684,217,494,419,692,937
9912//44991	22.0310728812%	529,829,766,722,684,217,494,419,120,937
10186//45175	22.5478693968%	529,829,766,722,354,684,494,692,937,145
9841//44897	21.9190591799%	529,829,766,722,354,684,494,120,937,145
10044//45162	22.2399362296%	529,829,766,722,354,217,494,692,937,145
10443//44857	23.2806473906%	529,829,766,722,684,217,494,692,120,937
9690//44874	21.593795962%	529,829,766,722,354,217,494,120,937,145
9878//44773	22.0624036808%	529,829,766,722,684,217,419,692,120,937
10187//45322	22.4769427651%	529,829,722,354,684,217,494,419,692,120
9815//44688	21.9633906194%	529,829,766,722,354,684,692,120,937,145
9667//44649	21.6511008085%	529,829,766,722,354,217,692,120,937,145
10408//44945	23.1571921237%	529,829,766,722,684,217,494,692,120,145
9794//44512	22.0030553559%	529,829,766,722,684,217,419,692,120,145
10353//44913	23.0512323826%	529,829,766,722,684,494,419,692,120,937
10033//45112	22.2402021635%	529,829,722,354,684,217,494,419,692,937
10194//44927	22.6901417856%	529,829,766,722,217,494,419,692,120,937
9709//44802	21.6709075488%	529,829,722,354,684,217,494,419,120,937
10147//44851	22.6237988005%	529,829,766,722,354,494,692,120,937,145
10263//44748	22.9351032448%	529,829,766,722,684,217,494,692,937,145
10231//45019	22.7259601502%	529,829,766,354,684,217,494,692,937,145
10272//44935	22.8596862134%	529,829,722,354,684,217,494,692,120,937
9939//44640	22.2647849462%	529,829,766,722,684,217,494,120,937,145
9878//44706	22.0954681698%	529,829,766,354,684,217,494,120,937,145
9699//44799	21.6500368312%	529,829,722,354,684,217,419,692,120,937
9917//44447	22.3119670619%	529,829,766,722,684,217,692,120,937,145
10211//44908	22.7375968647%	529,829,722,354,684,217,494,692,120,145
9876//44498	22.1942559216%	529,829,766,354,684,217,692,120,937,145
9816//44777	21.9219688679%	529,766,722,354,684,217,494,419,692,120
10175//44993	22.6146289423%	529,829,722,354,684,494,419,692,120,937
9818//44678	21.9750212633%	529,829,722,354,217,494,419,692,120,937
10386//44618	23.2776009682%	529,829,766,684,217,494,419,692,120,937
10392//44564	23.3192711606%	529,829,766,722,684,494,692,120,937,145
10313//44469	23.1914367312%	529,829,766,354,684,494,692,120,937,145
10062//44720	22.5%	529,829,722,354,684,217,494,692,937,145
10241//44591	22.9665179072%	529,829,766,722,217,494,692,120,937,145
10184//44483	22.8941393341%	529,829,766,354,217,494,692,120,937,145
9714//44372	21.8921842603%	529,829,722,354,684,217,494,120,937,145
9618//44490	21.6183412003%	529,766,722,354,684,217,494,419,692,937
9337//44390	21.0340166704%	529,766,722,354,684,217,494,419,120,937
9719//44392	21.8935844296%	529,829,722,354,684,217,692,120,937,145
9904//44378	22.3173644599%	529,766,722,354,684,217,494,692,120,937
9310//44255	21.0371709411%	529,766,722,354,684,217,419,692,120,937
9846//44372	22.1896691607%	529,766,722,354,684,217,494,692,120,145
9782//44407	22.0280586394%	829,766,722,354,684,217,494,419,692,937
10252//44631	22.9705809863%	529,829,722,684,217,494,419,692,120,937
10247//44905	22.8192851576%	529,829,354,684,217,494,419,692,120,937
10189//44568	22.8616944893%	529,829,722,354,684,494,692,120,937,145
9435//43928	21.4783281734%	829,766,722,354,684,217,419,692,120,937
9849//44268	22.2485768501%	529,829,722,354,217,494,692,120,937,145
10407//44161	23.5660424356%	529,829,766,684,217,494,692,120,937,145
9801//44447	22.0509820685%	529,766,722,354,684,494,419,692,120,937
9593//44359	21.6258256498%	529,766,722,354,217,494,419,692,120,937
9650//44099	21.8825823715%	529,766,722,354,684,217,494,692,937,145
9354//43968	21.2745633188%	529,766,722,354,684,217,494,120,937,145
9334//43853	21.2847467676%	529,766,722,354,684,217,692,120,937,145
9872//43996	22.4384034912%	829,766,722,354,684,494,419,692,120,937
9807//44020	22.2785097683%	829,766,722,354,684,217,494,692,937,145
9446//43691	21.620013275%	829,766,722,354,684,217,494,120,937,145
10286//44280	23.2294489612%	529,829,722,684,217,494,692,120,937,145
10245//44363	23.0935689651%	529,829,354,684,217,494,692,120,937,145
9884//44152	22.3863018663%	529,766,722,684,217,494,419,692,120,937
9874//44396	22.2407424092%	529,766,354,684,217,494,419,692,120,937
9449//43523	21.7103600395%	829,766,722,354,684,217,692,120,937,145
9826//44031	22.3160954782%	529,766,722,354,684,494,692,120,937,145
9627//43951	21.9039384769%	529,766,722,354,217,494,692,120,937,145
9973//43760	22.7902193784%	829,766,722,684,217,494,419,692,120,937
9885//43582	22.681382222%	829,766,722,354,684,494,692,120,937,145
9739//43618	22.3279380072%	829,766,722,354,217,494,692,120,937,145
9701//44165	21.9653571833%	529,722,354,684,217,494,419,692,120,937
9927//43813	22.6576586858%	529,766,722,684,217,494,692,120,937,145
9879//43859	22.5244533619%	529,766,354,684,217,494,692,120,937,145
9816//43827	22.3971524403%	829,722,354,684,217,494,419,692,120,937
10003//43422	23.0367095021%	829,766,722,684,217,494,692,120,937,145
9970//43515	22.9116396645%	829,766,354,684,217,494,692,120,937,145
9801//43621	22.468535797%	529,766,722,684,494,419,692,120,937,145
9722//43745	22.2242542005%	529,722,354,684,217,494,692,120,937,145
9824//43408	22.6317729451%	829,722,354,684,217,494,692,120,937,145
9410//43063	21.8517056406%	766,722,354,684,217,494,419,692,120,937
9429//42650	22.1078546307%	766,722,354,684,217,494,692,120,937,145
9156//42805	21.3900245298%	529,829,766,722,354,684,217,494,419
9723//42708	22.7662264681%	529,829,766,722,354,684,217,494,692
8968//42389	21.1564320932%	529,829,766,722,354,684,217,419,692
9233//42382	21.7851918267%	529,829,766,722,354,684,217,494,937
9612//42714	22.5031605563%	529,829,766,722,354,684,494,419,692
9454//42730	22.1249707465%	529,829,766,722,354,217,494,419,692
8658//42262	20.4864890445%	529,829,766,722,354,684,217,419,937
9217//42167	21.8583252306%	529,829,766,722,354,684,217,692,937
9183//42395	21.6605731808%	529,829,766,722,354,684,217,494,145
8869//41895	21.1695906433%	529,829,766,722,354,684,217,120,937
9160//42156	21.7288167758%	529,829,766,722,354,684,217,692,145
8806//41865	21.0342768422%	529,829,766,722,354,684,217,120,145
9152//42452	21.5584660322%	529,829,766,722,354,684,494,419,937
8988//42435	21.1806291976%	529,829,766,722,354,217,494,419,937
9694//42238	22.9508972963%	529,829,766,722,354,684,494,692,937
9342//41972	22.2576956066%	529,829,766,722,354,684,494,120,937
9556//42351	22.5638119525%	529,829,766,722,354,217,494,692,937
9113//42202	21.5937633288%	529,829,766,722,354,684,419,692,937
9196//42073	21.8572481164%	529,829,766,722,354,217,494,120,937
8780//41971	20.9192061185%	529,829,766,722,354,684,419,120,937
8951//42170	21.2259900403%	529,829,766,722,354,217,419,692,937
9680//42251	22.9107003385%	529,829,766,722,684,217,494,419,692
9684//42715	22.6711927894%	529,829,766,354,684,217,494,419,692
8612//41932	20.5380139273%	529,829,766,722,354,217,419,120,937
9369//42168	22.218269778%	529,829,766,722,684,217,494,419,120
9649//42315	22.8027886092%	529,829,766,722,354,684,494,692,145
9322//41756	22.3249353386%	529,829,766,722,354,684,692,120,937
9291//42025	22.1082688876%	529,829,766,722,354,684,494,120,145
9504//42338	22.447919127%	529,829,766,722,354,217,494,692,145
8675//41854	20.7268122521%	529,829,766,722,354,684,217,937,145
9179//41844	21.9362393653%	529,829,766,722,354,217,692,120,937
9011//41903	21.5044268907%	529,829,766,722,354,684,419,692,145
