595//8652	6.877022653721683%	53,329
18//8001	0.2249718785151856%	33,361,329
40//7843	0.5100089251561902%	21,329
18//7797	0.2308580223162755%	33,361
18//7769	0.2316900501995109%	33,329
44//7641	0.5758408585263709%	19,329
230//6875	3.3454545454545452%	61,155,381,329
22//6808	0.32314923619271446%	106,329
230//6671	3.4477589566781592%	61,155,381
18//6663	0.270148581719946%	61,155,329
17//6623	0.2566812622678544%	84,329
305//6577	4.637372662308043%	54,381
230//6549	3.5119865628340206%	61,381,329
18//6459	0.2786809103576405%	61,155
230//6345	3.6249014972419227%	61,381
18//6337	0.2840460785860817%	61,329
17//6196	0.27437056165267915%	68,361
375//6039	6.209637357178341%	101,320
371//5907	6.28068393431522%	69,320,361,329
371//5703	6.505348062423286%	69,320,361
371//5675	6.537444933920705%	69,320,329
34//5604	0.6067094932191291%	48,155,329
15//5551	0.2702215816969915%	69,361,329
20//5549	0.3604253018561903%	25,329
371//5471	6.781210016450375%	69,320
34//5400	0.6296296296296297%	48,155
15//5347	0.2805311389564242%	69,361
15//5319	0.2820078962210942%	69,329
22//5279	0.4167455957567721%	49,361,329
34//5278	0.6441834028040925%	48,329
9//5222	0.17234775947912678%	92,329
22//5075	0.43349753694581283%	49,361
22//5047	0.43590251634634436%	49,329
21//5003	0.4197481511093344%	109,361
11//4988	0.22052927024859664%	66,155,361
227//4977	4.560980510347599%	58,381,329
370//4903	7.5464001631654085%	32,320,361,329
576//4899	11.757501530924678%	79,320,381
227//4773	4.755918709407082%	58,381
15//4765	0.3147953830010493%	58,329
11//4756	0.23128679562657695%	66,155
370//4699	7.874015748031496%	32,320,361
364//4687	7.766161723917218%	79,320
370//4671	7.921216013701563%	32,320,329
11//4662	0.23595023595023595%	66,361
226//4661	4.848744904526925%	108,381,329
224//4623	4.845338524767467%	31,361,381
14//4547	0.3078953155926985%	32,361,329
220//4543	4.842615012106537%	79,381
41//4472	0.9168157423971377%	134,361,329
370//4467	8.282963957913589%	32,320
15//4458	0.3364737550471063%	24,361
226//4457	5.0706753421584025%	108,381
14//4449	0.3146774556080018%	108,329
14//4447	0.31481897908702494%	55,361,329
12//4411	0.2720471548401723%	31,361
224//4391	5.101343657481212%	31,381
571//4362	13.090325538743695%	96,320,155,381
14//4343	0.3223578171770665%	32,361
222//4330	5.1270207852194%	72,361,381,329
14//4315	0.32444959443800697%	32,329
13//4306	0.30190431955411057%	63,155,329
240//4282	5.60485754320411%	139,361,381
41//4268	0.9606373008434864%	134,361
14//4243	0.3299552203629507%	55,361
41//4240	0.9669811320754716%	134,329
575//4218	13.632053105737317%	93,320,381,329
14//4215	0.33214709371293%	55,329
242//4181	5.788088973929682%	141,361,381
359//4150	8.650602409638553%	96,320,155
222//4126	5.380513814832768%	72,361,381
10//4118	0.24283632831471588%	72,361,329
13//4102	0.3169185763042418%	63,155
222//4098	5.417276720351391%	72,381,329
28//4070	0.687960687960688%	139,361
240//4050	5.925925925925926%	139,381
571//4036	14.147670961347869%	96,320,381
