['234', 3390]
['4839', 1345]
['1120', 1788]
['1353', 1018]
['278', 20114]
['3333', 1622]
['3416', 2490]
['24', 2330]
['159', 2227]
['371', 3095]
['704', 1530]
['1133', 1644]
['656', 1959]
['3085', 1829]
['3885', 1277]
['861', 2116]
['3276', 1476]
['5634', 1000]
['2136', 2272]
['762', 8071]
['5375', 1428]
['1155', 2111]
['537', 6248]
['1568', 1459]
['1524', 2705]
['3320', 992]
['227', 1441]
['235', 6133]
['1121', 2671]
['525', 3747]
['3152', 1060]
['32', 11069]
['640', 9163]
['1352', 1053]
['749', 1963]
['25', 12668]
['158', 5977]
['370', 3378]
['877', 1831]
['1271', 1218]
['1132', 7113]
['518', 1895]
['2050', 2890]
['1503', 1072]
['657', 2023]
['3084', 1481]
['3141', 2468]
['3400', 1005]
['367', 1674]
['69', 22631]
['4838', 1374]
['1455', 1926]
['1536', 4697]
['763', 2089]
['1569', 3034]
['253', 3488]
['5565', 1444]
['526', 2927]
['643', 1966]
['236', 3500]
['1351', 2339]
['2123', 1160]
['4507', 2357]
['931', 995]
['373', 1286]
['706', 2512]
['1131', 4906]
['922', 1966]
['3087', 1253]
['1579', 1888]
['328', 1994]
['3357', 1022]
['5092', 2146]
['838', 3864]
['540', 7710]
['3322', 3551]
['364', 12167]
['2044', 1378]
['1456', 2344]
['1535', 2669]
['863', 2604]
['2134', 2139]
['269', 18343]
['535', 1964]
['759', 2507]
['997', 2339]
['4442', 1018]
['1149', 3374]
['237', 6257]
['2269', 1333]
['2045', 1500]
['1534', 1596]
['541', 1513]
['1350', 1099]
['714', 1769]
['2122', 1671]
['1471', 1846]
['27', 72134]
['930', 2719]
['372', 3910]
['1130', 1591]
['1260', 1228]
['4506', 1046]
['329', 3579]
['996', 1004]
['3356', 1708]
['5093', 2150]
['527', 2602]
['2412', 1060]
['268', 4669]
['839', 2028]
['3143', 1358]
['989', 2912]
['251', 1771]
['862', 1290]
['534', 4680]
['2395', 1180]
['916', 8989]
['3262', 2358]
['1457', 1581]
['2135', 2038]
['230', 8123]
['520', 4091]
['37', 3985]
['339', 5290]
['546', 1440]
['689', 2922]
['3337', 1332]
['20', 4504]
['2402', 1119]
['1344', 1161]
['4035', 1961]
['2886', 4331]
['872', 1695]
['498', 2591]
['1124', 1433]
['865', 1414]
['1519', 3043]
['5094', 1052]
['1469', 3893]
['3272', 1131]
['362', 1910]
['3405', 2745]
['3001', 1961]
['2042', 2227]
['256', 1363]
['766', 2619]
['375', 1125]
['3351', 2598]
['858', 2047]
['5234', 1768]
['1168', 2972]
['2132', 1724]
['5', 5930]
['991', 1086]
['248', 2010]
['910', 1548]
['3145', 2659]
['521', 7826]
['231', 4405]
['4625', 1075]
['338', 5419]
['1518', 3064]
['4500', 1031]
['2124', 4218]
['688', 4004]
['499', 5252]
['21', 8763]
['2403', 3073]
['1345', 1143]
['3156', 1363]
['1507', 4320]
['1477', 1660]
['5095', 1089]
['1468', 1384]
['363', 4187]
['864', 1618]
['1451', 2042]
['257', 2857]
['644', 8673]
['532', 1959]
['2133', 2722]
['990', 1610]
['6303', 1008]
['522', 6773]
['232', 5366]
['2040', 1811]
['3155', 2268]
['148', 69922]
['2127', 1008]
['3407', 1521]
['2400', 1446]
['1346', 1194]
['849', 1961]
