['278', 379810]
['234', 371010]
['24', 4579810]
['366', 4164810]
['68', 4484210]
['227', 4528910]
['519', 382410]
['33', 52406910]
['253', 4135410]
['194', 4554710]
['367', 4115210]
['158', 4263410]
['8', 56010110]
['69', 4252710]
['32', 4568010]
['279', 380710]
['535', 390110]
['250', 4451710]
['236', 4205710]
['26', 4506510]
['197', 4314410]
['225', 4132410]
['269', 386910]
['373', 372210]
['31', 4253910]
['251', 4613510]
['196', 4238310]
['27', 379310]
['30', 52622910]
['268', 4462710]
['372', 4233110]
['339', 4149310]
['223', 4174410]
['37', 51762510]
['498', 4129010]
['5', 4133610]
['20', 4253810]
['230', 4120910]
['191', 4256810]
['249', 4130210]
['375', 376510]
['36', 51932810]
['257', 4256910]
['21', 4284210]
['222', 4501710]
['231', 4223310]
['248', 391910]
['349', 4181710]
['35', 55897010]
['193', 4118410]
['377', 4251710]
['148', 4290310]
['34', 52290710]
['255', 4286310]
['23', 51973410]
['233', 4637710]
['192', 4195810]
['358', 4159210]
['149', 393810]
['376', 4109410]
['335', 4271210]
['115', 4125410]
['289', 4255310]
['11', 51469010]
['99', 4582410]
['114', 4187110]
['288', 4419310]
['334', 4494610]
['312', 4159810]
['10', 52300410]
['301', 4105610]
['121', 4188510]
['132', 4395210]
['98', 51113610]
['122', 4525410]
['117', 397310]
['337', 4221510]
['302', 4162910]
['108', 381110]
['131', 4118910]
['130', 4253410]
['116', 4288010]
['12', 4538510]
['336', 4210410]
['123', 4233710]
['109', 51524110]
['317', 4435310]
['111', 4152010]
['28', 51055710]
['137', 4401710]
['331', 369410]
['304', 4121110]
['15', 4153110]
['168', 4286810]
['330', 395110]
['136', 4626910]
['29', 4548110]
['316', 381110]
['503', 4114810]
['305', 4134810]
['125', 4320110]
['14', 4386210]
['110', 4186610]
['7', 4286510]
['306', 4490610]
['333', 4210210]
['298', 4180610]
['17', 4948510]
['134', 4406110]
['178', 4219410]
['112', 4429710]
['307', 4509910]
['127', 4965910]
['332', 4158310]
['16', 51034910]
['299', 4205110]
['164', 4291010]
['281', 4312510]
['128', 4204810]
['407', 4142910]
['201', 4100910]
['380', 4169910]
['91', 4185910]
['102', 4295610]
['19', 4640410]
['216', 4224410]
['217', 4765010]
['392', 383310]
['90', 4273010]
['176', 395110]
['280', 4138710]
['200', 4159410]
['381', 370310]
['129', 4480110]
['18', 4443510]
['103', 4122910]
['214', 4141510]
['175', 4175810]
['283', 4175510]
['203', 4175810]
['139', 51327610]
['215', 4319510]
['89', 4811810]
['92', 51194610]
['202', 4123910]
['383', 4195710]
['390', 374910]
['167', 396710]
['282', 4376010]
['397', 4214910]
['173', 4862810]
['95', 4384110]
['403', 4129410]
['119', 4298210]
['894', 4223310]
['663', 393710]
['384', 388210]
['106', 4264410]
['205', 4256610]
['59', 4693310]
['396', 4103810]
['172', 51876210]
['107', 389710]
['477', 4142210]
['284', 4224710]
['161', 4558410]
['118', 4412110]
['58', 4301910]
['411', 399510]
['94', 4324310]
['210', 4562310]
['104', 4491210]
['97', 4101610]
['290', 4100710]
['105', 4486310]
['96', 4917810]
['400', 374210]
['286', 388310]
['206', 4273710]
['291', 382210]
['458', 398510]
['77', 4129510]
['9', 54098210]
['55', 4178310]
['82', 4568610]
['209', 4326210]
['83', 51115210]
['76', 4334610]
['54', 4137410]
['437', 369510]
['80', 4259710]
['75', 379510]
['57', 4362710]
['180', 4319010]
['81', 51776810]
['181', 4138610]
['56', 4152710]
['448', 4116910]
['74', 51292410]
['86', 51239610]
['186', 4716910]
['425', 376810]
['72', 4198510]
['419', 4107710]
['218', 4143110]
['53', 51538110]
['409', 4199510]
['184', 4656510]
['71', 4418810]
['70', 51305410]
['85', 4425810]
['450', 4124010]
['270', 4806510]
['322', 4120610]
['263', 4143910]
['146', 4555410]
['60', 51359510]
['245', 4137010]
['150', 4183410]
['47', 4778310]
['147', 4181010]
['61', 51279310]
['356', 4134910]
['62', 51533710]
['3', 623080010]
['320', 4258810]
['144', 4299910]
['261', 4174410]
['258', 4231010]
['44', 4119610]
['453', 4170110]
['273', 4426010]
['152', 4304110]
['347', 4213810]
['145', 4912910]
['246', 4637410]
['38', 4345610]
['63', 52011010]
['454', 386510]
['142', 4119310]
['64', 4874910]
['241', 4852510]
['42', 52415710]
['340', 4152810]
['326', 4286410]
['155', 4306810]
['267', 4191110]
['274', 4106310]
['275', 4132710]
['198', 4116010]
['455', 381910]
['65', 51750410]
['43', 4267810]
['327', 4358210]
['341', 399210]
['143', 4299710]
['240', 4501310]
['266', 399210]
['352', 4226910]
['157', 4964610]
['66', 4339310]
['276', 371310]
['229', 51349810]
['463', 382210]
['265', 4113410]
['79', 4337110]
['351', 394210]
['156', 4790110]
['369', 4128810]
['67', 4173710]
['141', 4117010]
['242', 4662510]
['78', 4217010]
[['278', '234'], 4150513]
[['77', '373'], 4201611]
[['116', '455'], 4369217]
[['663', '381'], 4163812]
[['279', '425'], 4157312]
[['253', '276'], 4206017]
[['375', '276'], 4147414]
[['206', '330'], 4368018]
[['373', '276'], 4143312]
[['383', '223'], 43685216]
[['150', '193'], 4301018]
[['352', '330'], 4321812]
