==========================================
SLURM_JOB_ID = 374308
SLURM_NODELIST = gnode62
SLURM_JOB_GPUS = 
==========================================
Loaded all files
got patterns
(28738, 502)
1views wasted:0

2views wasted:0

3views wasted:0

4views wasted:0

5views wasted:0

6views wasted:0

7views wasted:0

8views wasted:0

9views wasted:0

10views wasted:0

11views wasted:0

12views wasted:0

13views wasted:0

14views wasted:0

15views wasted:0

16views wasted:0

17views wasted:0

18views wasted:0

19views wasted:0

20views wasted:0

21views wasted:0

22views wasted:0

23views wasted:0

24views wasted:0

25views wasted:0

26views wasted:0

27views wasted:0

28views wasted:0

29views wasted:0

30views wasted:0

31views wasted:0

32views wasted:0

33views wasted:0

34views wasted:0

35views wasted:0

36views wasted:0

37views wasted:0

38views wasted:0

39views wasted:0

40views wasted:0

41views wasted:0

42views wasted:0

43views wasted:0

44views wasted:0

45views wasted:0

46views wasted:0

47views wasted:0

48views wasted:0

49views wasted:0

50views wasted:0

51views wasted:0

52views wasted:0

53views wasted:0

54views wasted:0

55views wasted:0

56views wasted:0

57views wasted:0

58views wasted:0

59views wasted:0

60views wasted:0

61views wasted:0

62views wasted:0

63views wasted:0

64views wasted:0

65views wasted:0

66views wasted:0

67views wasted:0

68views wasted:0

69views wasted:0

70views wasted:0

71views wasted:0

72views wasted:0

73views wasted:0

74views wasted:0

75views wasted:0

76views wasted:0

77views wasted:0

78views wasted:0

79views wasted:0

80views wasted:0

81views wasted:0

82views wasted:0

83views wasted:0

84views wasted:0

85views wasted:0

86views wasted:0

87views wasted:0

88views wasted:0

89views wasted:0

90views wasted:0

91views wasted:0

92views wasted:0

93views wasted:0

94views wasted:0

95views wasted:0

96views wasted:0

97views wasted:0

98views wasted:0

99views wasted:0

100views wasted:0

101views wasted:0

102views wasted:0

103views wasted:0

104views wasted:0

105views wasted:0

106views wasted:0

107views wasted:0

108views wasted:0

109views wasted:0

110views wasted:0

111views wasted:0

112views wasted:0

113views wasted:0

114views wasted:0

115views wasted:0

116views wasted:0

117views wasted:0

118views wasted:0

119views wasted:0

120views wasted:0

121views wasted:0

122views wasted:0

123views wasted:0

124views wasted:0

125views wasted:0

126views wasted:0

127views wasted:0

128views wasted:0

129views wasted:0

130views wasted:0

131views wasted:0

132views wasted:0

133views wasted:0

134views wasted:0

135views wasted:0

136views wasted:0

137views wasted:0

138views wasted:0

139views wasted:0

140views wasted:0

141views wasted:0

142views wasted:0

143views wasted:0

144views wasted:0

145views wasted:0

146views wasted:0

147views wasted:0

148views wasted:0

149views wasted:0

150views wasted:0

151views wasted:0

152views wasted:0

153views wasted:0

154views wasted:0

155views wasted:0

156views wasted:0

157views wasted:0

158views wasted:0

159views wasted:0

160views wasted:0

161views wasted:0

162views wasted:0

163views wasted:0

164views wasted:0

165views wasted:0

166views wasted:0

167views wasted:0

168views wasted:0

169views wasted:0

170views wasted:0

171views wasted:0

172views wasted:0

173views wasted:0

174views wasted:0

175views wasted:0

176views wasted:0

177views wasted:0

178views wasted:0

179views wasted:0

180views wasted:0

181views wasted:0

182views wasted:0

183views wasted:0

184views wasted:0

185views wasted:0

186views wasted:0

187views wasted:0

188views wasted:0

189views wasted:0

190views wasted:0

191views wasted:0

192views wasted:0

193views wasted:0

194views wasted:0

195views wasted:0

196views wasted:0

197views wasted:0

198views wasted:0

199views wasted:0

200views wasted:0

201views wasted:0

202views wasted:0

203views wasted:0

204views wasted:0

205views wasted:0

206views wasted:0

207views wasted:0

208views wasted:0

209views wasted:0

210views wasted:0

211views wasted:0

212views wasted:0

213views wasted:0

214views wasted:0

215views wasted:0

216views wasted:0

217views wasted:0

218views wasted:0

219views wasted:0

220views wasted:0

221views wasted:0

222views wasted:0

223views wasted:0

224views wasted:0

225views wasted:0

226views wasted:0

227views wasted:0

228views wasted:0

229views wasted:0

230views wasted:0

231views wasted:0

232views wasted:0

233views wasted:0

234views wasted:0

235views wasted:7

236views wasted:7

237views wasted:7

238views wasted:7

239views wasted:7

240views wasted:7

241views wasted:7

242views wasted:7

243views wasted:7

244views wasted:7

245views wasted:7

246views wasted:7

247views wasted:7

248views wasted:7

249views wasted:7

250views wasted:7

251views wasted:7

252views wasted:7

253views wasted:7

254views wasted:7

255views wasted:7

256views wasted:7

257views wasted:7

258views wasted:7

259views wasted:7

260views wasted:7

261views wasted:7

262views wasted:7

263views wasted:7

264views wasted:7

265views wasted:7

266views wasted:38

267views wasted:38

268views wasted:38

269views wasted:38

270views wasted:38

271views wasted:38

272views wasted:63

273views wasted:63

274views wasted:63

275views wasted:63

276views wasted:63

277views wasted:63

278views wasted:63

279views wasted:63

280views wasted:63

281views wasted:63

282views wasted:71

283views wasted:71

284views wasted:71

285views wasted:71

286views wasted:71

287views wasted:71

288views wasted:99

289views wasted:99

290views wasted:99

291views wasted:127

292views wasted:153

293views wasted:153

294views wasted:153

295views wasted:182

296views wasted:202

297views wasted:224

298views wasted:224

299views wasted:245

300views wasted:245

301views wasted:256

302views wasted:256

303views wasted:256

304views wasted:282

305views wasted:282

306views wasted:282

307views wasted:303

308views wasted:303

309views wasted:316

310views wasted:337

311views wasted:358

312views wasted:358

313views wasted:382

314views wasted:404

315views wasted:404

316views wasted:412

317views wasted:412

318views wasted:430

319views wasted:430

320views wasted:448

321views wasted:466

322views wasted:466

323views wasted:466

324views wasted:466

325views wasted:481

326views wasted:503

327views wasted:503

328views wasted:519

329views wasted:519

330views wasted:526

331views wasted:548

332views wasted:548

333views wasted:554

334views wasted:580

335views wasted:593

336views wasted:593

337views wasted:613

338views wasted:635

339views wasted:656

340views wasted:673

341views wasted:693

342views wasted:693

343views wasted:710

344views wasted:728

345views wasted:743

346views wasted:743

347views wasted:758

348views wasted:778

349views wasted:791

350views wasted:807

351views wasted:819

352views wasted:837

353views wasted:837

354views wasted:848

355views wasted:868

356views wasted:878

357views wasted:897

358views wasted:897

359views wasted:911

360views wasted:911

361views wasted:911

362views wasted:923

363views wasted:939

364views wasted:953

365views wasted:965

366views wasted:965

367views wasted:965

368views wasted:976

369views wasted:976

370views wasted:991

371views wasted:1005

372views wasted:1023

373views wasted:1028

374views wasted:1043

375views wasted:1051

376views wasted:1051

377views wasted:1061

378views wasted:1067

379views wasted:1075

380views wasted:1083

381views wasted:1096

382views wasted:1110

383views wasted:1123

384views wasted:1134

385views wasted:1145

386views wasted:1145

387views wasted:1150

388views wasted:1150

389views wasted:1160

390views wasted:1175

391views wasted:1181

392views wasted:1181

393views wasted:1186

394views wasted:1196

395views wasted:1206

396views wasted:1218

397views wasted:1218

398views wasted:1224

399views wasted:1230

400views wasted:1230

401views wasted:1242

402views wasted:1242

403views wasted:1254

404views wasted:1266

405views wasted:1266

406views wasted:1266

407views wasted:1266

408views wasted:1277

409views wasted:1277

410views wasted:1277

411views wasted:1277

412views wasted:1277

413views wasted:1277

414views wasted:1283

415views wasted:1283

416views wasted:1283

417views wasted:1294

418views wasted:1294

419views wasted:1302

420views wasted:1308

421views wasted:1308

422views wasted:1308

423views wasted:1308

424views wasted:1308

425views wasted:1308

426views wasted:1308

427views wasted:1308

428views wasted:1308

429views wasted:1308

430views wasted:1308

431views wasted:1313

432views wasted:1313

433views wasted:1324

434views wasted:1324

435views wasted:1324

436views wasted:1324

437views wasted:1324

438views wasted:1324

439views wasted:1324

440views wasted:1324

441views wasted:1324

442views wasted:1324

443views wasted:1324

444views wasted:1324

445views wasted:1324

446views wasted:1324

447views wasted:1324

448views wasted:1324

449views wasted:1324

450views wasted:1324

451views wasted:1324

452views wasted:1324

453views wasted:1324

454views wasted:1324

455views wasted:1324

456views wasted:1329

457views wasted:1329

458views wasted:1329

459views wasted:1329

460views wasted:1329

461views wasted:1329

462views wasted:1329

463views wasted:1329

464views wasted:1329

465views wasted:1329

466views wasted:1329

467views wasted:1329

468views wasted:1329

469views wasted:1329

470views wasted:1329

471views wasted:1329

472views wasted:1329

473views wasted:1329

474views wasted:1329

475views wasted:1329

476views wasted:1329

477views wasted:1329

478views wasted:1329

479views wasted:1329

480views wasted:1329

481views wasted:1329

482views wasted:1329

483views wasted:1329

484views wasted:1329

485views wasted:1329

486views wasted:1329

487views wasted:1329

488views wasted:1329

489views wasted:1329

490views wasted:1329

491views wasted:1329

492views wasted:1329

493views wasted:1329

494views wasted:1329

495views wasted:1329

496views wasted:1329

497views wasted:1329

498views wasted:1329

499views wasted:1329

500views wasted:1329

Allocation accuracy new method: 500
views wasted:1329
Loaded all files
got patterns
(28738, 502)
Allocation accuracy new method: 500
views wasted:1329
limit 1 to 5
/tmp/1619201774320.txt
Allocation accuracy: 500
limit 1 to 5
/tmp/1619201785685.txt
Allocation accuracy: 500
###############     ARGUMENTS     ############
['plot_results.py', 'patterns/TIK1.txt', 'dataset/T40I10D100K.txt', '500', '5000', '3500']
##############################################
web_page_to_adv_json_file : ./1619195957110.json
allocated_adslots_file: ./1619195957114.json
ALLOCATING WITH OUR NEW METHOD: 500
AD REPEATABILITY OF OUR NEW METHOD : 500
500 0 5822166 4256432

0.01329

ALLOCATING WITH OUR OLD METHOD: 500
AD REPEATABILITY OF ONE-SLOT METHOD : 500
0.01329

[One slot] ALLOCATING WITH RANDOM METHOD: 500
AD REPEATABILITY OF RANDOM METHOD: 500
0.70788

[Multi slots] ALLOCATING WITH RANDOM METHOD: 500
AD REPEATABILITY OF RANDOM METHOD: 500
0.53601

allocated
{'VFS_one_method': [500], 'VFS_multi_method': [500], 'new_method': [500], 'oneslot_method': [500]}
adrepp
{'VFS_one_method': ['0.70788'], 'VFS_multi_method': ['0.53601'], 'new_method': ['0.01329'], 'oneslot_method': ['0.01329']}
revenue
{'VFS_one_method': [2517555], 'VFS_multi_method': [2517555], 'new_method': [2517555], 'oneslot_method': [2517555]}
